PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s)
40145080,AD-Diff: enhancing Alzheimer's disease prediction accuracy through multimodal fusion.,2025,Han L,
40144670,Exosomes enriched with miR-124-3p show therapeutic potential in a new microfluidic triculture model that recapitulates neuron-glia crosstalk in Alzheimer's disease.,2025,"Évora A, Garcia G, Rubi A, De Vitis E, Matos AT, Vaz AR, Gervaso F, Gigli G, Polini A, Brites D",", , , , , , , , , "
40144618,Early prediction of Alzheimer's disease using artificial intelligence and cortical features on T1WI sequences.,2025,"Zeng R, Yang B, Wu F, Liu H, Wu X, Tang L, Song R, Zheng Q, Wang X, Guo D",", , , , , , , , , "
40144559,Moringa oleifera Extracts as Strategic Phyto-Therapy for Alzheimer's Disease.,2025 Apr,"Carrotta R, Vilasi S, Costa MA, Librizzi F, Martorana V, Passantino R, Buzzanca C, di Stefano V, Ortore MG, Piccirillo S, Preziuso A, Magi S, Mangione MR",", , , , , , , , , , , , "
40144496,Inhibition of the cGAS-STING pathway via an endogenous copper ion-responsive covalent organic framework nanozyme for Alzheimer's disease treatment.,2025 Mar 11,"Zhang H, Ya J, Sun M, Du X, Ren J, Qu X",", , , , , "
40144222,Exploring shared therapeutic targets for Alzheimer's disease and glioblastoma using network pharmacology and protein-protein interaction approach.,2025,"Pradeep S, Sai Chakith MR, Sindhushree SR, Reddy P, Sushmitha E, Purohit MN, Suresh D, Swamy Shivananju N, Silina E, Manturova N, Stupin V, Kollur SP, Shivamallu C, Achar RR",", , , , , , , , , , , , , "
40143889,Surface Versus Penetrative rTMS Stimulation May Be More Effective for AD Patients with Cerebrovascular Disease.,2025,"Lithgow BJ, Saha C, Dastgheib Z, Moussavi Z",", , , "
40143849,The role of intracellular and extracellular copper compartmentalization in Alzheimer's disease pathology and its implications for diagnosis and therapy.,2025,"Li YQ, Tan SS, Wu D, Zhang Q, Wang T, Zheng G",", , , , , "
40143845,Preclinical insights into gamma-tACS: foundations for clinical translation in neurodegenerative diseases.,2025,"Sánchez-Garrido Campos G, Zafra ÁM, Estévez-Rodríguez M, Cordones I, Ruffini G, Márquez-Ruiz J",", , , , , "
40143384,Estrogen G-Protein Coupled Receptor Antagonist G15 Promotes Tau Clearance in 2D and 3D Tauopathy Models.,2025 Apr,"Nishino MS, Costa AJD, Bassani TB, Stilhano RS, Ureshino RP",", , , , "
